name,duration,file_path,album_name
Mother's Daughter,219080,https://p.scdn.co/mp3-preview/c9f171c101069a98df5b2ff2e233e5aa8b8ab186?cid=9a5b25583c2648bd8d5cdcad2ec4c172,SHE IS COMING
Unholy,130186,https://p.scdn.co/mp3-preview/1dbbfc6dd4b559fba9fa2ba742e0e0cbf23e73ff?cid=9a5b25583c2648bd8d5cdcad2ec4c172,SHE IS COMING
D.R.E.A.M. (feat. Ghostface Killah),168346,https://p.scdn.co/mp3-preview/ebeb323908b7a6b73927e03d95e34a1b53e3fed0?cid=9a5b25583c2648bd8d5cdcad2ec4c172,SHE IS COMING
Cattitude (feat. RuPaul),189973,https://p.scdn.co/mp3-preview/a3f60c769f778fe5b88821f899f68ba2a80887a7?cid=9a5b25583c2648bd8d5cdcad2ec4c172,SHE IS COMING
Party Up The Street,217253,https://p.scdn.co/mp3-preview/05212efe055fb81e84fa23e11d3072969d5e337e?cid=9a5b25583c2648bd8d5cdcad2ec4c172,SHE IS COMING
The Most,221720,https://p.scdn.co/mp3-preview/2255df9f4dec25f4c29988da8898a69ac96b01b3?cid=9a5b25583c2648bd8d5cdcad2ec4c172,SHE IS COMING
Slide Away,233654,https://p.scdn.co/mp3-preview/d653a66f494256d889c0e45e05af49e5b1e121cf?cid=9a5b25583c2648bd8d5cdcad2ec4c172,SHE IS COMING
Too Good At Raising Hell,229212,,Pretty Vicious
Pretty Vicious,310300,,Pretty Vicious
I Won’t Run,245648,,Pretty Vicious
Hands On Me,211301,,Pretty Vicious
Do What You Want,212727,,Pretty Vicious
Rockstar,208063,,Pretty Vicious
Remember The Name,246051,,Pretty Vicious
Bad Decisions,225440,,Pretty Vicious
Better Love,280039,,Pretty Vicious
Gimme Some Blood,246982,,Pretty Vicious
Somebody Someday,266712,,Pretty Vicious
Ew,207710,https://p.scdn.co/mp3-preview/b871936cddfd66d396c29155b802b8fc8764962c?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Nectar
MODUS,207265,https://p.scdn.co/mp3-preview/71ef1125a43763ce36162ada081aa4bc10c258f1?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Nectar
Tick Tock,132215,https://p.scdn.co/mp3-preview/6c7dd7366e44dc5577dba553ab9e347deb573e98?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Nectar
Daylight,163905,,Nectar
Upgrade,89917,https://p.scdn.co/mp3-preview/376b5990dbfea459b4bdea897fc7b3af68930991?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Nectar
Gimme Love,214557,https://p.scdn.co/mp3-preview/708cde1a1d876423cb2be39a83dc6479bde9095e?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Nectar
Run,195000,https://p.scdn.co/mp3-preview/fdd7846ce3696a52b4029c7af33cb451eae0bec3?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Nectar
Sanctuary,180018,https://p.scdn.co/mp3-preview/b3c2037a7cd4745177be546b5e91a3d1e663ce9f?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Nectar
High Hopes (feat. Omar Apollo),182400,https://p.scdn.co/mp3-preview/f719dff564d20e39e21e28371a71b2a4a97b4f42?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Nectar
NITROUS,131718,https://p.scdn.co/mp3-preview/643dc6e91b75a5b7cf525bf93c608279834d158e?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Nectar
Pretty Boy (feat. Lil Yachty),156759,https://p.scdn.co/mp3-preview/c1f48548c65631fe208fb6ae041156da31e396ba?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Nectar
Normal People (feat. rei brown),166883,https://p.scdn.co/mp3-preview/7697e70c06f478ac747c95d61a2286f9357330c1?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Nectar
Afterthought,194871,https://p.scdn.co/mp3-preview/4cabe0c1e7f92637cfb4e2c90394310603c02f6b?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Nectar
Mr. Hollywood,202072,https://p.scdn.co/mp3-preview/07794ddaa12bc222f125be5d1868bc061dfaf1e1?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Nectar
777,181772,https://p.scdn.co/mp3-preview/43b26b46ff44bfcaa7f4460e5fed385cacbd6a2d?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Nectar
Reanimator (feat. Yves Tumor),183256,https://p.scdn.co/mp3-preview/93128ad8af3b4d885ab5669a57784f7c3cd79ae5?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Nectar
Like You Do,240294,https://p.scdn.co/mp3-preview/b6264d2126b08a8219df6502c8b613ee9ebe5577?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Nectar
