name,image,release_date,artist_name
1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,2023-10-27,Taylor Swift
1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,2023-10-26,Taylor Swift
Speak Now (Taylor's Version),https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,2023-07-07,Taylor Swift
Midnights (The Til Dawn Edition),https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0,2023-05-26,Taylor Swift
Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,2022-10-22,Taylor Swift
Music for The Starling Girl (Score & Music from the Original Motion Picture),https://i.scdn.co/image/ab67616d0000b27355c5c67fe8d27796dac94f03,2023-07-11,Lord Huron
Long Lost (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273537cc35d181312bea5141e00,2022-05-25,Lord Huron
Long Lost,https://i.scdn.co/image/ab67616d0000b2731c18ab47e15a19af3246a792,2021-05-21,Lord Huron
Vide Noir,https://i.scdn.co/image/ab67616d0000b2738431866429dc2ad6eed8c51e,2018-04-20,Lord Huron
Strange Trails,https://i.scdn.co/image/ab67616d0000b2739d2efe43d5b7ebc7cb60ca81,2015-04-07,Lord Huron
TIM,https://i.scdn.co/image/ab67616d0000b273660ee24281a547103f466ff5,2019-06-06,Avicii
Stories,https://i.scdn.co/image/ab67616d0000b2735393c5d3cac806092a9bc468,2015-10-02,Avicii
True: Avicii By Avicii,https://i.scdn.co/image/ab67616d0000b273182fe5b5d3e3c3fcc895a3c8,2014-01-01,Avicii
The Days / Nights,https://i.scdn.co/image/ab67616d0000b2730ae4f4d42e4a09f3a29f64ad,2014-01-01,Avicii
True (Bonus Edition),https://i.scdn.co/image/ab67616d0000b273c3760c26cc5374ddbd9fd530,2013-09-16,Avicii
Viva Las Vengeance,https://i.scdn.co/image/ab67616d0000b2739e4e71f09bb7902fd182bbc1,2022-08-19,Panic! At The Disco
Pray for the Wicked,https://i.scdn.co/image/ab67616d0000b273c5148520a59be191eea16989,2018-06-22,Panic! At The Disco
All My Friends We're Glorious: Death of a Bachelor Tour Live,https://i.scdn.co/image/ab67616d0000b273a2146ef219fdd3d4d8b5f993,2017-12-15,Panic! At The Disco
Death of a Bachelor,https://i.scdn.co/image/ab67616d0000b27323152d9337d6c57b116ed13a,2016-01-15,Panic! At The Disco
"Too Weird to Live, Too Rare to Die!",https://i.scdn.co/image/ab67616d0000b2733d01f39642426b65217fbe21,2013-10-04,Panic! At The Disco
The Car,https://i.scdn.co/image/ab67616d0000b27307823ee6237208c835802663,2022-10-21,Arctic Monkeys
Live at the Royal Albert Hall,https://i.scdn.co/image/ab67616d0000b273753ff61c73b2861911ce590d,2020-12-04,Arctic Monkeys
Tranquility Base Hotel & Casino,https://i.scdn.co/image/ab67616d0000b2738895ff0f90525f4aa9437c27,2018-05-10,Arctic Monkeys
AM,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,2013-09-09,Arctic Monkeys
Suck It and See,https://i.scdn.co/image/ab67616d0000b273cb44038b22f3d8a5e4e62d5a,2011-06-06,Arctic Monkeys
The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),https://i.scdn.co/image/ab67616d0000b273bec9bb0cc1082b88f176bf49,2023-11-17,Olivia Rodrigo
