name,duration,file_path,album_name
Pretty Vicious,310300,,Pretty Vicious
Saturday,215632,https://p.scdn.co/mp3-preview/e8da3eda2997d7e3be52d86d43518ca2036a74bb?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Saturday
Poems,189135,https://p.scdn.co/mp3-preview/ba99685660b5adead4aaf34d979f4c6fc24e5312?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Saturday
Autumn,226622,https://p.scdn.co/mp3-preview/47d04312b83ee4772a077645a60fca14fbdf10fd?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Saturday
Don't Want Me,213606,https://p.scdn.co/mp3-preview/9a1ea840582f8dc7d4c5934171e7c3a6eb41dbf5?cid=9a5b25583c2648bd8d5cdcad2ec4c172,West Side Highway
Hours,243074,https://p.scdn.co/mp3-preview/cdc5fb9f140c449d0f09f61833dd510c68ac868d?cid=9a5b25583c2648bd8d5cdcad2ec4c172,West Side Highway
West Side Highway,169809,https://p.scdn.co/mp3-preview/5d2c352fc0631a203762633c4bb8adfd0d42a2a2?cid=9a5b25583c2648bd8d5cdcad2ec4c172,West Side Highway
Never Be Alone,203442,https://p.scdn.co/mp3-preview/878b3199fb2008083f7aead5865c548aef1a6148?cid=9a5b25583c2648bd8d5cdcad2ec4c172,West Side Highway
Waves,185459,https://p.scdn.co/mp3-preview/cc6b3ff5e8cf18094f8aebb803596a464fa66e50?cid=9a5b25583c2648bd8d5cdcad2ec4c172,West Side Highway
Brown Eyes,235998,https://p.scdn.co/mp3-preview/b74dd9169578ba9b1f82466a2420735c5b5f7fe3?cid=9a5b25583c2648bd8d5cdcad2ec4c172,West Side Highway
"Birds of a Feather, We Rock Together (feat. Antwaun Stanley)",285349,https://p.scdn.co/mp3-preview/8af5f8835f92f54d67d4b4cf80ce294dd00d366b?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Mr Finish Line
Baby I Don’t Know Oh Oh (feat. Charles Jones),208954,https://p.scdn.co/mp3-preview/c1db91615c9c4c83a4067bbbede516f4cdd2007e?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Mr Finish Line
Mr. Finish Line (feat. Christine Hucal & Theo Katzman),193191,https://p.scdn.co/mp3-preview/b4e567eea897933f9c4d844a30d3fe498d4c614a?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Mr Finish Line
Tee Time,169003,https://p.scdn.co/mp3-preview/e8ccf9c9b4a42bb947ccae5bc69b40daebc4def7?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Mr Finish Line
"Running Away (feat. Joey Dosik, David T. Walker & James Gadson)",272251,https://p.scdn.co/mp3-preview/ad983ba17d69db8d7ba0a347709f8e267f43b22f?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Mr Finish Line
Hero Town (feat. Michael Bland),215332,https://p.scdn.co/mp3-preview/e29268928a25fb97481990e7c359d6f8e4c781db?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Mr Finish Line
Business Casual (feat. Coco O.),183503,https://p.scdn.co/mp3-preview/0425190cd50e4c40267d497a88e7d4317041cab1?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Mr Finish Line
Vulf Pack,157990,https://p.scdn.co/mp3-preview/ccf2be69751417f463fbb349e83cd5ffc2175db6?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Mr Finish Line
"Grandma (feat. Antwaun Stanley, David T. Walker & James Gadson)",305766,https://p.scdn.co/mp3-preview/676f2e30ae037d810e2b03babe783e46ad9fcd71?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Mr Finish Line
"Captain Hook (feat. Baby Theo, Bootsy Collins & Mushy Kay)",160550,https://p.scdn.co/mp3-preview/806bf6bfbdd950f89f6eed1cf067ad545186a072?cid=9a5b25583c2648bd8d5cdcad2ec4c172,Mr Finish Line
