track_name,genres
Pretty Vicious,"['glam rock', 'modern alternative rock']"
Saturday,['boston indie']
Poems,['boston indie']
Autumn,['boston indie']
Don't Want Me,['indie soul']
Hours,['indie soul']
West Side Highway,['indie soul']
Never Be Alone,['indie soul']
Waves,['indie soul']
Brown Eyes,['indie soul']
"Birds of a Feather, We Rock Together (feat. Antwaun Stanley)","['ann arbor indie', 'funk rock', 'instrumental funk']"
Baby I Don’t Know Oh Oh (feat. Charles Jones),"['ann arbor indie', 'funk rock', 'instrumental funk']"
Mr. Finish Line (feat. Christine Hucal & Theo Katzman),"['ann arbor indie', 'funk rock', 'instrumental funk']"
Tee Time,"['ann arbor indie', 'funk rock', 'instrumental funk']"
"Running Away (feat. Joey Dosik, David T. Walker & James Gadson)","['ann arbor indie', 'funk rock', 'instrumental funk']"
Hero Town (feat. Michael Bland),"['ann arbor indie', 'funk rock', 'instrumental funk']"
Business Casual (feat. Coco O.),"['ann arbor indie', 'funk rock', 'instrumental funk']"
Vulf Pack,"['ann arbor indie', 'funk rock', 'instrumental funk']"
"Grandma (feat. Antwaun Stanley, David T. Walker & James Gadson)","['ann arbor indie', 'funk rock', 'instrumental funk']"
"Captain Hook (feat. Baby Theo, Bootsy Collins & Mushy Kay)","['ann arbor indie', 'funk rock', 'instrumental funk']"
Future Nostalgia (Joe Goddard Remix) [Mixed],"['dance pop', 'pop', 'uk pop']"
Cool (Jayda G Remix) [Mixed],"['dance pop', 'pop', 'uk pop']"
Good In Bed (Zach Witness & Gen Hoshino Remixes) [Mixed],"['dance pop', 'pop', 'uk pop']"
Pretty Please (Midland Refix) [Mixed],"['dance pop', 'pop', 'uk pop']"
Pretty Please (Masters at Work Remix) [Mixed],"['dance pop', 'pop', 'uk pop']"
Boys Will Be Boys (Zach Witness Remix) [Mixed],"['dance pop', 'pop', 'uk pop']"
Love Again (Horse Meat Disco Remix) [Mixed],"['dance pop', 'pop', 'uk pop']"
Break My Heart / Cosmic Girl (Dimitri From Paris Edit) [Mixed],"['dance pop', 'pop', 'uk pop']"
Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix] [Mixed],"['dance pop', 'pop', 'uk pop']"
Hallucinate (Mr Fingers deep stripped mix) [Mixed],"['dance pop', 'pop', 'uk pop']"
Hallucinate (Paul Woolford Remix) [Extended] [Mixed],"['dance pop', 'pop', 'uk pop']"
Love Is Religion (The Blessed Madonna Remix) [Mixed],"['dance pop', 'pop', 'uk pop']"
Don't Start Now (Yaeji Remix) [Mixed],"['dance pop', 'pop', 'uk pop']"
Physical (feat. Gwen Stefani) [Mark Ronson Remix] [Mixed],"['dance pop', 'pop', 'uk pop']"
Kiss and Make Up (Remix) [Mixed],"['dance pop', 'pop', 'uk pop']"
That Kind Of Woman (Jacques Lu Cont Remix) [Mixed],"['dance pop', 'pop', 'uk pop']"
Break My Heart (Moodymann Remix) [Mixed],"['dance pop', 'pop', 'uk pop']"
Trying to Be Nice,['chill dream pop']
Future Nostalgia,"['dance pop', 'pop', 'uk pop']"
Don't Start Now,"['dance pop', 'pop', 'uk pop']"
Cool,"['dance pop', 'pop', 'uk pop']"
Physical,"['dance pop', 'pop', 'uk pop']"
Levitating,"['dance pop', 'pop', 'uk pop']"
Pretty Please,"['dance pop', 'pop', 'uk pop']"
Hallucinate,"['dance pop', 'pop', 'uk pop']"
Love Again,"['dance pop', 'pop', 'uk pop']"
Break My Heart,"['dance pop', 'pop', 'uk pop']"
Good In Bed,"['dance pop', 'pop', 'uk pop']"
